Zip,Location Code,Overall_Rating
11411,Q147,P
11413,Q156,U
11411,Q176,WD
11413,Q181,P
11412,Q192,P
11422,Q195,P
11426,Q208,WD
11423,Q238,P
11413,Q248,P
11413,Q251,U
11412,Q259,P
11413,Q265,P
11433,Q268,P
11422,Q270,WD
11413,Q272,P
11413,Q283,P
11428,Q295,U
11423,Q326,P
11434,Q327,P
11413,Q355,P
11413,Q356,D
11411,Q492,P
11411,Q498,P
11370,Q002,WD
11103,Q010,WD
11377,Q011,WD
11102,Q017,P
11372,Q069,P
11103,Q070,WD
11106,Q076,P
11109,Q078,P
11105,Q084,P
11105,Q085,P
11368,Q092,WD
11101,Q111,P
11101,Q112,P
11105,Q122,WD
11106,Q126,P
11369,Q127,P
11105,Q141,P
11372,Q145,WD
11369,Q148,P
11372,Q149,P
11104,Q150,P
11377,Q151,P
11377,Q152,P
11106,Q166,WD
11102,Q171,U
11106,Q204,P
11372,Q212,P
11372,Q222,P
11369,Q227,WD
11369,Q228,WD
11372,Q230,P
11102,Q234,WD
11102,Q235,P
11372,Q280,P
11102,Q286,P
11101,Q301,WD
11103,Q445,P
11106,Q450,P
11106,Q501,WD
11101,Q502,P
11101,Q555,WD
11101,Q575,WD
11106,Q580,P
10307,R001,WD
10306,R002,WD
10309,R003,P
10312,R004,WD
10312,R005,WD
10307,R006,WD
10312,R007,WD
10308,R008,WD
10304,R011,P
10305,R013,P
10301,R016,P
10310,R018,P
10310,R019,WD
10302,R020,WD
10303,R021,P
10303,R022,WD
10306,R023,WD
10308,R024,WD
10314,R026,P
10310,R027,P
10314,R029,WD
10314,R030,P
10301,R031,P
10308,R032,WD
10307,R034,WD
10301,R035,WD
10312,R036,P
10306,R038,WD
10305,R039,WD
10306,R041,WD
10312,R042,WD
10303,R044,P
10310,R045,P
10305,R046,P
10314,R047,P
10304,R048,WD
10304,R049,P
10306,R050,P
10302,R051,P
10305,R052,WD
10308,R053,WD
10314,R054,WD
10312,R055,WD
10309,R056,WD
10304,R057,P
10314,R058,WD
10314,R060,WD
10301,R061,WD
10314,R063,P
10314,R064,P
10301,R065,WD
10314,R069,WD
10314,R072,WD
10301,R074,P
10312,R075,WD
10301,R080,WD
10306,R440,WD
10302,R445,P
10301,R450,WD
10312,R455,WD
10314,R460,WD
10304,R470,P
10301,R600,WD
10306,R605,P
10314,R861,WD
11207,K045,P
11221,K075,P
11237,K086,P
11221,K106,P
11237,K116,P
11237,K123,U
11206,K145,P
11207,K151,P
11237,K162,P
11237,K168,P
11221,K274,P
11221,K291,U
11221,K299,P
11221,K347,P
11221,K349,P
11237,K376,P
11221,K377,P
11237,K383,P
11207,K384,P
11237,K403,P
11221,K545,P
11237,K549,P
11237,K552,U
11237,K554,WD
11221,K556,P
11221,K564,U
11207,K004,P
11207,K036,P
11215,K053,WD
11217,K077,P
11216,K140,P
11226,K141,WD
11204,K231,P
11206,K368,P
11217,K369,WD
11224,K370,P
11232,K371,P
11215,K372,WD
11206,K373,P
11212,K396,P
11223,K721,WD
11238,K753,P
11235,K771,P
11235,K811,U
10019,M035,WD
10035,M079,P
10280,M094,P
10035,M138,WD
10128,M169,WD
10003,M226,WD
10014,M721,P
10003,M751,P
10024,M811,P
11365,Q004,WD
11378,Q009,P
11426,Q023,WD
11385,Q075,P
11365,Q177,P
11426,Q224,WD
11375,Q233,P
11366,Q255,WD
11791,Q256,WD
11373,Q721,P
11436,Q752,P
11362,Q811,WD
11001,Q993,WD
10309,R025,WD
10308,R037,P
10301,R373,WD
10304,R721,WD
10465,X010,P
10461,X012,U
10456,X017,P
10467,X168,WD
10475,X176,WD
10459,X186,WD
10460,X188,WD
10459,X352,U
10461,X721,P
10475,X723,P
10455,X754,U
10459,X811,P
11226,K704,WD
10026,M329,U
11372,Q705,P
